n_shared,diff_pp,ci_low_pp,ci_high_pp,p,model,domain,benchmark,cond_a,cond_b,p_holm,sig_raw,sig_holm
256,-3.125,-8.203125,2.34375,0.2654,falcon,ultrachat,gsm8k,attention_only,ssm_plus_mlp,1.0,False,False
512,1.7578125,-1.171875,4.6875,0.2656,qwen3,gsm8k_train,hellaswag,gdn_plus_mlp,__base__,1.0,False,False
299,1.6722408026755853,-1.0033444816053512,4.3478260869565215,0.2662,qwen3,codealpaca,arc_challenge,mlp_only,softmax_plus_mlp,1.0,False,False
256,2.34375,-1.5625,6.25,0.267,falcon,gsm8k_train,gsm8k,mlp_only,attention_plus_mlp,1.0,False,False
512,1.5625,-0.9765625,4.1015625,0.2684,qwen3,ultrachat,hellaswag,mlp_only,softmax_plus_mlp,1.0,False,False
512,-1.171875,-3.125,0.78125,0.2702,falcon,codealpaca,hellaswag,attention_plus_mlp,__base__,1.0,False,False
512,1.7578125,-1.171875,4.6875,0.2718,qwen3,gsm8k_train,hellaswag,all_layers,__base__,1.0,False,False
512,1.5625,-0.9765625,4.296875,0.272,qwen3,codealpaca,hellaswag,softmax_only,softmax_plus_mlp,1.0,False,False
256,-3.125,-8.203125,1.953125,0.2722,qwen3,ultrachat,gsm8k,softmax_plus_mlp,gdn_plus_mlp,1.0,False,False
256,2.734375,-1.953125,7.421875,0.275,falcon,codealpaca,gsm8k,all_eligible,attention_plus_mlp,1.0,False,False
256,-3.515625,-9.375,2.34375,0.2768,falcon,gsm8k_train,gsm8k,all_eligible,attention_only,1.0,False,False
512,1.3671875,-0.9765625,3.7109375,0.2788,falcon,ultrachat,hellaswag,attention_only,ssm_plus_mlp,1.0,False,False
256,2.34375,-1.5625,6.25,0.2814,falcon,codealpaca,gsm8k,all_eligible,ssm_only,1.0,False,False
512,-1.3671875,-3.7109375,0.9765625,0.2818,falcon,gsm8k_train,mmlu,attention_only,ssm_plus_mlp,1.0,False,False
512,-1.171875,-3.125,0.78125,0.283,falcon,codealpaca,mmlu,attention_plus_mlp,__base__,1.0,False,False
512,1.3671875,-0.9765625,3.90625,0.285,falcon,ultrachat,hellaswag,ssm_only,mlp_only,1.0,False,False
512,1.3671875,-0.9765625,3.7109375,0.285,qwen3,codealpaca,hellaswag,mlp_only,softmax_plus_mlp,1.0,False,False
256,-3.515625,-9.765625,2.734375,0.2866,falcon,ultrachat,gsm8k,attention_only,ssm_only,1.0,False,False
512,1.3671875,-0.9765625,3.7109375,0.2868,falcon,gsm8k_train,mmlu,all_eligible,attention_only,1.0,False,False
512,-1.953125,-5.46875,1.5625,0.2892,qwen3,codealpaca,hellaswag,gdn_only,__base__,1.0,False,False
128,5.46875,-3.90625,14.84375,0.2892,qwen3,gsm8k_train,gsm8k,all_layers,gdn_only,1.0,False,False
512,1.3671875,-0.9765625,3.7109375,0.2904,qwen3,codealpaca,mmlu,mlp_only,__base__,1.0,False,False
512,-0.9765625,-2.734375,0.78125,0.2952,falcon,ultrachat,mmlu,attention_only,__base__,1.0,False,False
512,-0.9765625,-2.734375,0.5859375,0.2976,falcon,ultrachat,hellaswag,attention_plus_mlp,ssm_plus_mlp,1.0,False,False
299,-1.6722408026755853,-4.682274247491638,1.0033444816053512,0.298,falcon,ultrachat,arc_challenge,mlp_only,__base__,1.0,False,False
512,-1.3671875,-3.7109375,0.9765625,0.2984,qwen3,gsm8k_train,mmlu,gdn_only,gdn_plus_mlp,1.0,False,False
299,1.6722408026755853,-1.0033444816053512,4.682274247491638,0.2998,qwen3,gsm8k_train,arc_challenge,softmax_only,mlp_only,1.0,False,False
